NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
2022,4,F,1,3,2,1,1,1,,0,,,,,,,,2600708,AlianÃ§a,26,PE,1,1,1,1,1087.0,1056.0,1066.0,1078.0,393.1,449.2,535.1,487.5,1,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB,DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,120.0,200.0,120.0,100.0,120.0,660.0,B,E,C,B,4,B,A,B,D,A,A,B,B,A,A,A,A,A,A,A,A,D,A,B,B
2022,2,F,1,2,1,2,0,2,1.0,0,5300108.0,BrasÃ­lia,53.0,DF,2.0,1.0,1.0,5300108,BrasÃ­lia,53,DF,1,1,1,1,1086.0,1055.0,1065.0,1076.0,547.4,505.1,519.0,504.1,0,EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB,DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA,DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE,DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC,1.0,160.0,200.0,160.0,160.0,180.0,860.0,G,E,D,B,7,J,A,C,D,B,A,B,B,B,A,A,A,A,B,A,A,D,B,B,B
2022,6,M,1,3,1,1,5,1,,0,,,,,,,,2506301,Guarabira,25,PB,0,0,0,0,,,,,,,,,1,,,,,,,,,,,,H,E,F,D,4,C,A,B,C,A,A,B,A,B,A,B,A,A,B,A,A,C,A,A,A
2022,5,F,1,3,1,1,1,1,,0,,,,,,,,2609600,Olinda,26,PE,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,E,E,C,B,3,B,C,B,B,A,A,B,A,A,A,B,A,A,B,A,A,B,A,A,B
2022,9,M,1,3,1,1,6,1,,0,,,,,,,,2606002,Garanhuns,26,PE,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,G,E,E,D,2,C,A,C,D,A,A,B,A,B,A,B,A,A,B,A,A,C,A,C,B
2022,11,F,1,1,1,1,13,1,,0,,,,,,,,3136702,Juiz de Fora,31,MG,1,1,1,1,1085.0,1057.0,1068.0,1075.0,566.3,634.0,647.6,503.4,0,ADBADABEABCEEEACCBDDADDCBBCCAEBAEBEBEACCCDDDE,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,ECDABEBDCEECDBDCCCCBCXCBAACDBAAACEBABDDEDAEBE,1.0,120.0,180.0,140.0,160.0,160.0,760.0,B,D,C,B,1,D,A,B,B,A,A,B,B,B,A,B,A,A,B,A,A,B,A,B,B
2022,1,F,1,1,1,3,0,1,,1,,,,,,,,3520509,Indaiatuba,35,SP,1,1,1,1,1086.0,1055.0,1065.0,1076.0,393.7,485.9,563.5,623.4,0,EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB,DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA,DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE,DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC,1.0,180.0,200.0,160.0,140.0,100.0,780.0,G,G,D,D,4,Q,A,E,D,C,A,C,C,B,A,B,A,B,E,A,B,E,B,E,B
2022,7,M,3,1,1,1,5,1,,0,,,,,,,,4108304,Foz do IguaÃ§u,41,PR,0,0,0,0,,,,,,,,,1,,,,,,,,,,,,E,G,C,E,1,C,A,B,B,A,A,B,B,A,A,A,A,A,B,A,A,B,A,B,B
2022,6,F,1,3,1,1,4,1,,0,,,,,,,,3550308,SÃ£o Paulo,35,SP,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,D,C,C,B,3,C,A,B,B,B,A,B,A,B,B,B,A,A,B,A,A,A,A,A,B
2022,4,M,1,1,1,1,2,1,,0,,,,,,,,2408102,Natal,24,RN,1,1,1,1,1088.0,1058.0,1067.0,1077.0,652.8,652.7,612.9,719.9,1,DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD,CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD,CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC,CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE,1.0,160.0,200.0,200.0,200.0,200.0,960.0,G,G,E,D,3,O,A,C,C,C,C,C,C,B,B,B,B,B,B,B,B,D,A,B,B
